Libelle EN;Libelle FR
Aeronautics;Aéronautique
Alpine Skiing;Ski alpin
Alpinism;Alpinisme
Archery;Tir à l'arc
Art Competitions;Compétitions artistiques
Athletics;Athlétisme
Badminton;Badminton
Baseball;Baseball
Basketball;Basketball
Basque Pelota;Pelote basque
Beach Volleyball;Volleyball de plage
Biathlon;Biathlon
Bobsleigh;Bobsleigh
Boxing;Boxe
Canoeing;Canoë
Cricket;Cricket
Croquet;Croquet
Cross Country Skiing;Ski de fond
Curling;Curling
Cycling;Cyclisme
Diving;Plongeon
Equestrianism;Equitation
Fencing;Escrime
Figure Skating;Patinage artistique
Football;Football
Freestyle Skiing;Ski acrobatique
Golf;Golf
Gymnastics;Gymnastique
Handball;Handball
Hockey;Hockey sur gazon
Ice Hockey;Hockey sur glace
Jeu De Paume;Jeu du paume
Judo;Judo
Lacrosse;Lacrosse
Luge;Luge
Military Ski Patrol;Patrouille militaire
Modern Pentathlon;Pentathlon moderne
Motorboating;Motonautisme
Nordic Combined;Combiné nordique
Polo;Polo
Racquets;Jeu de raquettes
Rhythmic Gymnastics;Gymnastique rythmique
Roque;Roque
Rowing;Aviron
Rugby;Rugby
Rugby Sevens;Rugby à 7
Sailing;Voile
Shooting;Tir
Short Track Speed Skating;
Skeleton;Skeleton
Ski Jumping;Saut à skis
Snowboarding;Snowboard
Softball;Softball
Speed Skating;Patinage de vitesse
Sport;Sport
Swimming;Natation
Synchronized Swimming;Natation sychronisée
Table Tennis;Tennis de table
Taekwondo;Taekwondo
Tennis;Tennis
Trampolining;Trampoline
Triathlon;Triathlon
Tug-Of-War;Tir à la corde
Volleyball;Volleyball
Water Polo;Water Polo
Weightlifting;Haltérophilie
Wrestling;Lutte
